Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
Ryzen Threadripper PRO 3955WX,Castle Peak,16.0,3.9,Socket WRX8,7.0,64MB,280.0,2020-07-14
Ryzen Threadripper PRO 5955WX,Chagall PRO,16.0,4.0,Socket WRX8,7.0,64MB,280.0,2022-03-08
Core i7-12800HX,Alder Lake-HX,16.0,2.0,BGA 1964,10.0,25MB,55.0,2022-05-10
Core i7-12850HX,Alder Lake-HX,16.0,2.1,BGA 1964,10.0,25MB,55.0,2022-05-10
Core i7-13700,Raptor Lake-S,16.0,2.1,Socket 1700,10.0,30MB,65.0,2023-01-04
Core i7-13700F,Raptor Lake-S,16.0,2.1,Socket 1700,10.0,30MB,65.0,2023-01-04
Core i7-13700HX,Raptor Lake-HX,16.0,2.1,BGA 1964,10.0,30MB,55.0,2023-01-04
Core i7-13700K,Raptor Lake-S,16.0,3.4,Socket 1700,10.0,30MB,125.0,2022-09-27
Core i7-13700KF,Raptor Lake-S,16.0,3.4,Socket 1700,10.0,30MB,125.0,2022-09-27
Core i7-13700T,Raptor Lake-S,16.0,1.4,Socket 1700,10.0,30MB,35.0,2023-01-04
Core i9-12900,Alder Lake-S,16.0,2.4,Socket 1700,10.0,30MB,65.0,2022-01-04
Core i9-12900E,Alder Lake-S,16.0,2.3,Socket 1700,10.0,30MB,65.0,2022-01-04
Core i9-12900F,Alder Lake-S,16.0,2.4,Socket 1700,10.0,30MB,65.0,2022-01-04
Core i9-12900HX,Alder Lake-HX,16.0,2.3,BGA 1964,10.0,30MB,55.0,2022-05-10
Core i9-12900K,Alder Lake-S,16.0,3.2,Socket 1700,10.0,30MB,125.0,2021-11-04
Core i9-12900KF,Alder Lake-S,16.0,3.2,Socket 1700,10.0,30MB,125.0,2021-11-04
Core i9-12900KS,Alder Lake-S,16.0,3.4,Socket 1700,10.0,30MB,150.0,2022-04-05
Core i9-12900T,Alder Lake-S,16.0,1.4,Socket 1700,10.0,30MB,35.0,2022-01-04
Core i9-12900TE,Alder Lake-S,16.0,1.1,Socket 1700,10.0,30MB,35.0,2022-01-04
Core i9-12950HX,Alder Lake-HX,16.0,2.3,BGA 1964,10.0,30MB,55.0,2022-05-10
Core i9-7960X,Skylake-X,16.0,2.8,Socket 2066,14.0,22MB,165.0,
Core i9-9960X,Skylake-X,16.0,3.1,Socket 2066,14.0,22MB,165.0,2018-10-19
Xeon D-1571,Broadwell,16.0,1.3,BGA 1667,14.0,1.5MB,45.0,2016-02-24
Xeon D-1577,Broadwell,16.0,1.3,BGA 1667,14.0,1.5MB,45.0,2016-02-24
Xeon D-1581,Broadwell,16.0,1.8,BGA 1667,14.0,1.5MB,65.0,2016-02-24
Xeon D-1587,Broadwell,16.0,1.7,BGA 1667,14.0,1.5MB,65.0,2016-02-24
Xeon E5-2675 V3,Haswell-EP,16.0,1.8,Socket 2011-3,22.0,40MB,110.0,2014-09-08
Xeon E5-2698 V3,Haswell-EP,16.0,2.3,Socket 2011-3,22.0,40MB,135.0,2014-09-08
Xeon E5-2698A V3,Haswell-EP,16.0,2.8,Socket 2011-3,22.0,40MB,165.0,2014-11-18
Xeon E5-2698B V3,Haswell-EP,16.0,2.0,Socket 2011-3,22.0,40MB,135.0,
Xeon E5-4667 V3,Haswell-EP,16.0,2.0,Socket 2011-3,22.0,40MB,135.0,
Xeon E7-8860 v3,Haswell-EX,16.0,2.2,Socket 2011-3,22.0,40MB,140.0,
Xeon E7-8867 v3,Haswell-EX,16.0,2.5,Socket 2011-3,22.0,45MB,165.0,
Xeon Gold 6326,Ice Lake-SP,16.0,2.9,Socket 4189,10.0,24MB,185.0,2021-04-06
Xeon Gold 6328H,Cooper Lake-SP,16.0,2.8,Socket 4189,14.0,22MB,165.0,2021-04-06
Xeon Gold 6328HL,Cooper Lake-SP,16.0,2.8,Socket 4189,14.0,22MB,165.0,2021-04-06
Xeon Gold 6346,Ice Lake-SP,16.0,3.1,Socket 4189,10.0,36MB,205.0,2021-04-06
Xeon Platinum 8253,Cascade Lake-SP,16.0,2.2,Socket 3647,14.0,22MB,125.0,2018-12-11
Xeon Silver 4314,Ice Lake-SP,16.0,2.4,Socket 4189,10.0,24MB,135.0,2021-04-06
Xeon W-3335,Ice Lake-W,16.0,3.4,Socket 4189,10.0,24MB,250.0,2021-07-29
Core i9-10980XE,Cascade Lake-X,18.0,3.0,Socket 2066,14.0,24.75MB,165.0,2019-10-19
Core i9-7980XE,Skylake-X,18.0,2.6,Socket 2066,14.0,24.75MB,165.0,
Core i9-9980XE,Skylake-X,18.0,3.0,Socket 2066,14.0,24.75MB,165.0,2018-10-19
Xeon E5-2686 V3,Haswell-EP,18.0,2.0,Socket 2011-3,22.0,45MB,120.0,2014-09-08
Xeon E5-2696 V3,Haswell-EP,18.0,2.3,Socket 2011-3,22.0,45MB,145.0,2014-09-08
Xeon E5-2699 V3,Haswell-EP,18.0,2.3,Socket 2011-3,22.0,45MB,145.0,2014-09-08
Xeon E5-4669 V3,Haswell-EP,18.0,2.1,Socket 2011-3,22.0,45MB,135.0,
